date,rank_score
2022-05-27,1751953
2022-05-28,2726685
2022-05-29,1106267
2022-05-29,509199
2022-05-29,2564665
2022-05-29,1487271
2022-05-29,1420799
2022-05-29,965869
2022-05-30,1748698
2022-05-30,1712120
2022-06-01,2383094
2022-06-01,1109039
2022-06-02,4592298
2022-06-03,2106391
2022-06-03,4170819
2022-06-03,1088873
2022-06-03,794487
2022-06-04,732368
2022-06-04,1433483
2022-06-04,536845
2022-06-05,1018531
2022-06-05,1328807
2022-06-06,3044494
2022-06-07,851686
2022-06-07,3304225
2022-06-08,1246856
2022-06-08,1172257
2022-06-09,7831660
2022-06-09,3047194
2022-06-10,1598732
2022-06-10,428311
2022-06-11,2858364
2022-06-11,450937
2022-06-11,959468
2022-06-11,6397955
2022-06-11,1215332
2022-06-12,647176
2022-06-13,2778753
2022-06-13,678893
2022-06-14,2012103
2022-06-14,2760789
2022-06-14,3899120
2022-06-15,4666616
2022-06-15,15866017
2022-06-16,2647163
2022-06-16,2816222
2022-06-16,3355965
2022-06-16,2661167
2022-06-17,1981189
2022-06-17,3346064
2022-06-17,1738147
2022-06-17,1207932
2022-06-17,1905120
2022-06-17,1679805
2022-06-17,1542918
2022-06-18,2803368
2022-06-18,472594
2022-06-18,5520402
2022-06-19,1724427
2022-06-19,1213042
2022-06-20,1286853
2022-06-20,3327325
2022-06-20,3173961
2022-06-21,738013
2022-06-21,3536338
2022-06-21,1346585
2022-06-21,3134310
2022-06-21,2195869
2022-06-21,1008878
2022-06-21,3092714
2022-06-22,1222049
2022-06-22,2444425
2022-06-22,1496932
2022-06-22,1911741
2022-06-23,641105
2022-06-23,1794940
2022-06-23,2448207
2022-06-24,3422847
2022-06-24,3572479
2022-06-24,1015610
2022-06-24,1248141
2022-06-24,3960454
2022-06-24,2501573
2022-06-24,4287321
2022-06-24,6104614
2022-06-24,1085511
2022-06-25,5985711
2022-06-25,704272
2022-06-25,1151678
2022-06-25,2444350
2022-06-25,1697646
2022-06-26,1449296
2022-06-26,754205
2022-06-27,516589
2022-06-27,860907
2022-06-27,1072025
2022-06-27,2226414
2022-06-27,730250
2022-06-27,428402
2022-06-27,1699217
2022-06-27,16087714
2022-06-27,1387110
2022-06-27,7848399
2022-06-28,1262913
2022-06-28,5336665
2022-06-28,3463339
2022-06-28,515078
2022-06-28,4864916
2022-06-28,780823
2022-06-28,4007785
2022-06-28,1505249
2022-06-28,2710138
2022-06-29,3518082
2022-06-29,724314
2022-06-29,14642069
2022-06-29,4320970
2022-06-29,1941421
2022-06-29,4537862
2022-06-30,508893
2022-06-30,1114936
2022-06-30,1179647
2022-06-30,6093925
2022-06-30,3640522
2022-06-30,1000290
2022-07-01,4506812
2022-07-01,1623260
2022-07-01,2176934
2022-07-01,9082597
2022-07-01,1272321
2022-07-01,1299123
2022-07-01,7783489
2022-07-01,1789531
2022-07-02,2231492
2022-07-02,1217685
2022-07-02,1654462
2022-07-02,700427
2022-07-02,6362492
2022-07-02,853272
2022-07-02,1709780
2022-07-02,7109498
2022-07-02,744655
2022-07-02,6555590
2022-07-03,1546428
2022-07-03,3628808
2022-07-03,925610
2022-07-03,961561
2022-07-03,1741440
2022-07-03,5389540
2022-07-03,1911291
2022-07-03,1982019
2022-07-03,3990600
2022-07-03,1809536
2022-07-03,1000085
2022-07-03,3254829
2022-07-04,4922595
2022-07-04,2340398
2022-07-04,2215237
2022-07-04,1886993
2022-07-04,4187232
2022-07-04,8296001
2022-07-05,1149370
2022-07-05,609775
2022-07-05,4839125
2022-07-05,825477
2022-07-05,1200067
2022-07-05,2515042
2022-07-05,801834
2022-07-05,2952053
2022-07-06,1507618
2022-07-06,1038642
2022-07-06,680888
2022-07-06,1262296
2022-07-06,2059163
2022-07-06,1313484
2022-07-07,4431308
2022-07-07,885386
2022-07-07,1612532
2022-07-07,1531847
2022-07-07,1339629
2022-07-08,620041
2022-07-08,5289686
2022-07-08,2376927
2022-07-08,1188071
2022-07-08,2528463
2022-07-08,1007615
2022-07-08,1907948
2022-07-08,2912119
2022-07-09,7745566
2022-07-09,2448101
2022-07-09,1599158
2022-07-09,1551075
2022-07-10,2385311
2022-07-10,1842634
2022-07-10,1739190
2022-07-10,1065191
2022-07-10,1093259
2022-07-10,13205712
2022-07-11,2759896
2022-07-11,1442278
2022-07-11,2369364
2022-07-11,1156469
2022-07-11,490721
2022-07-11,1424290
2022-07-11,1305878
2022-07-12,1889909
2022-07-12,463611
2022-07-12,5915525
2022-07-12,1257243
2022-07-12,1083009
2022-07-13,623522
2022-07-13,9042812
2022-07-13,1275199
2022-07-13,1162728
2022-07-13,3603052
2022-07-13,1417540
2022-07-14,1891079
2022-07-14,569130
2022-07-15,516900
2022-07-15,1473476
2022-07-15,2783180
2022-07-15,429370
2022-07-15,1732554
2022-07-15,2832418
2022-07-15,2577582
2022-07-15,1720301
2022-07-15,541139
2022-07-15,8736631
2022-07-15,1592262
2022-07-15,1284259
2022-07-16,1331762
2022-07-16,513415
2022-07-16,780948
2022-07-16,2446174
2022-07-16,1068835
2022-07-16,2522535
2022-07-16,6560215
2022-07-16,1036066
2022-07-16,419921
2022-07-16,543558
2022-07-17,1856592
2022-07-17,2759286
2022-07-17,1796508
2022-07-17,13893273
2022-07-17,762619
2022-07-17,1188989
2022-07-17,2001459
2022-07-17,1631120
2022-07-17,3320603
2022-07-17,1105215
2022-07-17,747194
2022-07-18,1862690
2022-07-18,913586
2022-07-18,4132353
2022-07-18,1646965
2022-07-18,1224235
2022-07-18,1716988
2022-07-18,1073438
2022-07-19,1704152
2022-07-19,922971
2022-07-19,2798123
2022-07-19,445627
2022-07-19,1553445
2022-07-19,1136838
2022-07-19,4386353
2022-07-20,2555730
2022-07-20,825671
2022-07-20,3536895
2022-07-20,1011879
2022-07-20,1287190
2022-07-20,4691454
2022-07-20,2035499
2022-07-20,436126
2022-07-20,2107862
2022-07-20,1207500
2022-07-20,1087173
2022-07-21,981019
2022-07-21,532794
2022-07-21,3310316
2022-07-21,6236289
2022-07-21,1343264
2022-07-21,1093724
2022-07-21,526617
2022-07-21,1101583
2022-07-21,523203
2022-07-21,3679548
2022-07-21,640374
2022-07-21,2936153
2022-07-21,1150117
2022-07-22,1084880
2022-07-22,1406353
2022-07-22,661642
2022-07-22,2510889
2022-07-22,2263709
2022-07-22,468401
2022-07-22,3397728
2022-07-22,1025621
2022-07-22,5304180
2022-07-22,1745992
2022-07-22,1532444
2022-07-23,3696590
2022-07-23,3970975
2022-07-23,3370098
2022-07-23,1446468
2022-07-23,637211
2022-07-23,633468
2022-07-23,2045605
2022-07-23,764292
2022-07-23,1438413
2022-07-24,3397391
2022-07-24,846755
2022-07-24,1501337
2022-07-24,2214545
2022-07-24,2023523
2022-07-24,932918
2022-07-25,686169
2022-07-25,2656844
2022-07-25,1320467
2022-07-25,2323348
2022-07-25,1971673
2022-07-25,1584784
2022-07-25,2351047
2022-07-25,904359
2022-07-25,892604
2022-07-25,1429000
2022-07-25,1604678
2022-07-25,1216616
2022-07-26,2201279
2022-07-26,755231
2022-07-26,8620956
2022-07-26,1458038
2022-07-26,1715538
2022-07-26,5871344
2022-07-26,2136849
2022-07-26,5800908
2022-07-26,692805
2022-07-26,491831
2022-07-26,1183527
2022-07-26,1190483
2022-07-26,1228805
2022-07-26,3119338
2022-07-26,1617646
2022-07-27,1727586
2022-07-27,5927023
2022-07-27,2767708
2022-07-27,2739340
2022-07-27,2004677
2022-07-27,2115026
2022-07-27,3816574
2022-07-27,3706977
2022-07-27,2654760
2022-07-27,2481686
2022-07-27,1985294
2022-07-27,486039
2022-07-27,510261
2022-07-28,1334031
2022-07-28,1177111
2022-07-28,571662
2022-07-28,2958888
2022-07-28,2239341
2022-07-28,1426197
2022-07-28,2566775
2022-07-29,551435
2022-07-29,1550918
