pubdate,title,duration,arcurl,aid
2020-08-07,-1,3.5,-1,-1
2020-08-14,-1,1.83,-1,-1
2020-08-24,【鬼畜大电影】决战鬼畜岛（45分钟完整版）,45.18,http://www.bilibili.com/video/av841754985,841754985
2020-09-13,-1,0.67,-1,-1
2020-09-20,-1,3.73,-1,-1
2020-09-20,-1,2.3,-1,-1
2020-10-01,【搞笑丧尸片】鲲山行（70分钟完整版） 卢本伟&amp;茄子&amp;周淑怡 等领衔主演,71.08,http://www.bilibili.com/video/av927372302,927372302
2020-10-17,-1,3.15,-1,-1
2020-10-18,-1,0.52,-1,-1
2020-10-23,-1,0.28,-1,-1
2020-11-08,-1,3.2,-1,-1
2020-11-13,-1,6.4,-1,-1
2020-11-15,-1,0.2,-1,-1
2020-11-30,-1,3.07,-1,-1
2020-12-06,-1,3.12,-1,-1
2020-12-07,-1,1.32,-1,-1
2020-12-09,-1,1.52,-1,-1
2020-12-15,-1,2.87,-1,-1
2020-12-19,-1,2.27,-1,-1
2020-12-24,-1,2.85,-1,-1
2021-01-05,-1,3.9,-1,-1
2021-01-05,-1,1.42,-1,-1
2021-01-15,-1,1.7,-1,-1
2021-01-22,-1,1.97,-1,-1
2021-01-25,-1,0.75,-1,-1
2021-01-27,-1,1.7,-1,-1
2021-01-28,-1,8.25,-1,-1
2021-01-30,-1,4.27,-1,-1
2021-01-30,-1,1.63,-1,-1
2021-02-01,-1,2.02,-1,-1
2021-02-02,-1,2.87,-1,-1
2021-02-06,-1,8.53,-1,-1
2021-02-09,-1,0.85,-1,-1
2021-02-12,-1,2.22,-1,-1
2021-02-15,-1,1.68,-1,-1
2021-02-16,-1,3.2,-1,-1
2021-02-17,-1,1.47,-1,-1
2021-02-21,-1,3.18,-1,-1
2021-02-23,4K超清 严浩翔 贺峻霖 Cover《星球坠落》+《屋顶着火》等系列合作 持续更新中,33.92,http://www.bilibili.com/video/av629257183,629257183
2021-02-27,-1,2.15,-1,-1
2021-03-02,-1,4.1,-1,-1
2021-03-09,-1,1.5,-1,-1
2021-03-10,-1,3.7,-1,-1
2021-03-12,-1,3.12,-1,-1
2021-03-19,-1,6.93,-1,-1
2021-03-24,-1,2.75,-1,-1
2021-03-26,-1,1.83,-1,-1
2021-03-30,-1,3.02,-1,-1
2021-04-06,-1,2.3,-1,-1
2021-04-08,-1,5.0,-1,-1
2021-04-24,-1,1.52,-1,-1
2021-05-12,-1,2.57,-1,-1
2021-05-17,-1,4.42,-1,-1
2021-05-23,-1,0.63,-1,-1
2021-05-25,-1,2.55,-1,-1
2021-05-30,-1,1.43,-1,-1
2021-06-11,-1,4.72,-1,-1
2021-06-23,-1,0.25,-1,-1
2021-06-25,-1,10.12,-1,-1
2021-06-26,【答王之王Ⅱ】八 仙 过 海（完整版）,12.78,http://www.bilibili.com/video/av931348815,931348815
2021-06-30,-1,1.63,-1,-1
2021-07-03,-1,6.02,-1,-1
2021-07-06,-1,1.57,-1,-1
2021-07-15,-1,1.1,-1,-1
2021-07-19,-1,1.15,-1,-1
2021-07-20,举起手来  天皇亲征 完整版,34.55,http://www.bilibili.com/video/av419242387,419242387
2021-07-23,-1,1.0,-1,-1
2021-07-23,-1,1.4,-1,-1
2021-07-30,-1,0.45,-1,-1
2021-08-03,-1,0.68,-1,-1
2021-08-10,-1,2.9,-1,-1
2021-08-10,-1,3.58,-1,-1
2021-08-12,-1,1.08,-1,-1
2021-08-18,-1,5.98,-1,-1
2021-08-29,-1,1.15,-1,-1
2021-08-31,-1,6.45,-1,-1
2021-09-02,-1,4.98,-1,-1
2021-09-04,-1,3.85,-1,-1
2021-09-05,-1,4.75,-1,-1
2021-09-06,-1,10.57,-1,-1
2021-09-11,-1,2.4,-1,-1
2021-09-20,-1,2.12,-1,-1
2021-09-20,-1,2.73,-1,-1
2021-09-20,-1,1.68,-1,-1
2021-09-25,-1,0.22,-1,-1
2021-10-06,-1,3.23,-1,-1
2021-10-13,-1,2.83,-1,-1
2021-10-23,-1,1.0,-1,-1
2021-10-23,-1,0.3,-1,-1
2021-10-27,-1,2.52,-1,-1
2021-11-03,-1,0.2,-1,-1
2021-11-06,-1,3.72,-1,-1
2021-11-10,-1,4.88,-1,-1
2021-11-13,-1,3.75,-1,-1
2021-11-14,-1,2.35,-1,-1
2021-11-15,-1,1.47,-1,-1
2021-11-23,-1,0.95,-1,-1
2021-11-24,-1,1.18,-1,-1
2021-11-27,-1,4.58,-1,-1
2021-12-01,-1,2.23,-1,-1
2021-12-13,-1,3.53,-1,-1
2021-12-22,-1,1.12,-1,-1
2021-12-29,-1,5.18,-1,-1
2021-12-31,-1,7.17,-1,-1
2022-01-10,-1,1.28,-1,-1
2022-01-13,-1,1.78,-1,-1
2022-01-16,【物理化学重点整理（上）】3小时理清知识体系，物化不蒙圈,202.02,http://www.bilibili.com/video/av935652810,935652810
2022-01-16,-1,3.52,-1,-1
2022-01-17,-1,1.8,-1,-1
2022-01-19,-1,0.15,-1,-1
2022-01-20,-1,0.65,-1,-1
2022-01-22,-1,1.18,-1,-1
2022-01-27,-1,3.33,-1,-1
2022-02-05,-1,1.42,-1,-1
2022-02-07,-1,1.4,-1,-1
2022-02-08,-1,5.83,-1,-1
2022-02-11,-1,1.23,-1,-1
2022-02-17,-1,1.58,-1,-1
2022-02-19,-1,2.73,-1,-1
2022-02-20,-1,2.87,-1,-1
2022-02-22,【鬼畜战争大片】血战钢菊岭（30分钟完整版）全明星地狱之战！,30.2,http://www.bilibili.com/video/av551745135,551745135
2022-02-23,-1,1.7,-1,-1
2022-03-02,-1,1.57,-1,-1
2022-03-02,-1,1.58,-1,-1
2022-03-03,-1,2.72,-1,-1
2022-03-11,-1,2.37,-1,-1
2022-03-13,-1,1.22,-1,-1
2022-03-19,-1,3.33,-1,-1
2022-03-20,-1,0.23,-1,-1
2022-03-21,-1,0.47,-1,-1
2022-03-22,-1,2.82,-1,-1
2022-03-23,-1,0.22,-1,-1
2022-03-24,-1,0.2,-1,-1
2022-03-25,-1,2.78,-1,-1
2022-03-26,-1,1.4,-1,-1
2022-04-05,-1,1.37,-1,-1
2022-04-05,-1,1.45,-1,-1
2022-04-05,-1,2.1,-1,-1
2022-04-05,-1,0.57,-1,-1
2022-04-09,-1,0.87,-1,-1
2022-04-09,-1,1.38,-1,-1
2022-04-10,-1,1.73,-1,-1
2022-04-10,-1,0.35,-1,-1
2022-04-12,-1,0.23,-1,-1
2022-04-13,-1,0.9,-1,-1
2022-04-13,-1,2.1,-1,-1
2022-04-13,-1,0.27,-1,-1
2022-04-14,-1,8.92,-1,-1
2022-04-14,-1,0.27,-1,-1
2022-04-14,-1,3.03,-1,-1
2022-04-16,-1,2.6,-1,-1
2022-04-16,-1,2.33,-1,-1
2022-04-17,-1,1.57,-1,-1
2022-04-22,-1,0.17,-1,-1
2022-04-23,-1,0.35,-1,-1
2022-04-23,-1,1.6,-1,-1
2022-04-24,-1,0.18,-1,-1
2022-04-26,-1,0.33,-1,-1
2022-04-27,-1,0.22,-1,-1
2022-04-29,-1,0.92,-1,-1
2022-04-29,-1,0.18,-1,-1
2022-04-30,-1,0.23,-1,-1
2022-04-30,-1,0.27,-1,-1
2022-05-03,-1,0.3,-1,-1
2022-05-05,-1,0.22,-1,-1
2022-05-05,-1,0.32,-1,-1
2022-05-06,-1,0.75,-1,-1
2022-05-06,-1,1.42,-1,-1
2022-05-06,-1,0.2,-1,-1
2022-05-06,-1,2.78,-1,-1
2022-05-06,【真·动作片】球 王 之 王,13.57,http://www.bilibili.com/video/av341283253,341283253
2022-05-07,-1,1.95,-1,-1
2022-05-07,-1,0.55,-1,-1
2022-05-07,-1,0.25,-1,-1
2022-05-08,-1,0.27,-1,-1
2022-05-09,-1,0.25,-1,-1
2022-05-10,-1,8.17,-1,-1
2022-05-10,-1,1.0,-1,-1
2022-05-12,-1,2.05,-1,-1
2022-05-12,-1,0.15,-1,-1
2022-05-14,-1,1.5,-1,-1
2022-05-15,-1,2.67,-1,-1
2022-05-15,-1,0.22,-1,-1
2022-05-16,-1,1.53,-1,-1
2022-05-16,-1,0.27,-1,-1
2022-05-17,-1,1.87,-1,-1
2022-05-17,-1,0.3,-1,-1
2022-05-17,-1,0.25,-1,-1
2022-05-18,-1,0.68,-1,-1
2022-05-18,-1,0.23,-1,-1
2022-05-19,-1,0.33,-1,-1
2022-05-19,-1,0.15,-1,-1
2022-05-20,-1,0.83,-1,-1
2022-05-22,末日丧鲲 第一季合集,37.75,http://www.bilibili.com/video/av426847931,426847931
2022-05-22,-1,1.55,-1,-1
2022-05-23,-1,1.85,-1,-1
2022-05-23,-1,0.27,-1,-1
